Event,Particle,Particle_pz,Particle_pT,Particle_px,Particle_py,Particle_E
0,"pi0",36.9805,0.285588,0.160985,0.23589,36.9818
1,"pi-",20.4458,0.702481,0.687438,0.144598,20.4583
2,"pi0",27.0495,0.755078,-0.738118,0.159136,27.0604
3,"pi+",17.6549,0.364516,-0.32422,0.166592,17.6592
4,"pi0",6.21728,0.284134,-0.106057,-0.263598,6.22523
5,"pi+",23.6951,0.0845686,-0.00730555,0.0842524,23.6957
6,"pi0",40.6537,0.174412,0.147888,-0.0924602,40.6543
7,"pi+",28.6078,0.433585,-0.408772,-0.144574,28.6114
8,"pi+",14.622,0.403784,-0.343809,0.211746,14.6282
9,"pi0",30.6689,0.385542,0.348903,0.16404,30.6716
10,"pi-",22.2363,0.511556,-0.182887,0.477747,22.2426
11,"pi-",12.1642,0.300882,0.232408,-0.191092,12.1687
12,"pi-",4.39497,0.340556,-0.24249,-0.239118,4.41036
13,"pi-",10.3858,0.293963,-0.277513,0.0969574,10.3909
14,"pi0",5.49139,0.143364,0.0280493,-0.140593,5.49492
15,"pi+",37.3583,0.556272,0.0295442,0.555487,37.3627
16,"pi0",23.3825,0.660435,0.659261,0.0393744,23.3923
17,"pi+",14.2558,0.440381,0.402662,-0.178323,14.2633
18,"pi-",8.23305,0.21545,-0.00353113,-0.215421,8.23705
19,"pi-",1.6751,0.496258,0.180733,-0.462177,1.75263
20,"pi+",18.3442,0.504725,0.216946,0.455721,18.3516
21,"pi0",29.5705,0.323785,0.00186781,0.32378,29.5725
22,"pi-",43.0669,0.34216,0.241978,-0.241909,43.0685
23,"pi0",16.1815,0.74667,-0.153268,-0.730771,16.1993
24,"pi+",9.88813,0.720522,-0.716898,-0.0721781,9.91532
25,"pi+",8.09774,0.676139,0.375495,-0.562288,8.12712
26,"pi0",4.27052,0.223688,-0.0934636,-0.203226,4.27851
27,"pi+",16.42,0.137531,0.135086,-0.025817,16.4212
28,"pi-",11.8126,0.576185,0.4664,0.338319,11.8274
29,"pi-",12.1221,0.266734,0.257447,-0.069771,12.1258
30,"pi-",12.8363,0.608246,0.0577623,0.605497,12.8515
31,"pi0",24.7512,0.415621,0.406088,-0.0885054,24.755
32,"pi0",8.71499,0.42718,0.136791,-0.404686,8.7265
33,"pi-",31.434,0.595314,-0.586111,-0.104272,31.44
34,"pi-",8.40589,0.294717,-0.121897,0.268326,8.41221
35,"pi-",13.5127,0.651511,0.651511,-0.000254209,13.5291
36,"pi+",22.6974,0.178209,-0.17637,-0.0255374,22.6985
37,"pi+",21.9918,0.158262,-0.137056,0.079136,21.9928
38,"pi+",12.5725,0.546877,0.546423,0.0222829,12.5852
39,"pi0",44.6756,0.365531,-0.129332,-0.341887,44.6773
40,"pi0",16.6807,0.656663,0.0952491,0.649718,16.6942
41,"pi-",5.85611,0.737341,0.630216,0.382753,5.904
42,"pi+",16.7711,0.428488,0.412779,0.114958,16.7771
43,"pi-",26.9993,0.0984328,-0.0238626,0.0954966,26.9998
44,"pi+",20.4211,0.222018,-0.200671,0.0949893,20.4228
45,"pi0",25.8814,0.563399,-0.339019,0.449983,25.8878
46,"pi0",30.7756,0.518656,0.329007,0.400948,30.7802
47,"pi-",1.60051,0.449432,-0.449314,0.0102903,1.66826
48,"pi+",22.6329,0.418318,-0.289323,0.302129,22.6372
49,"pi0",11.1317,0.115134,0.115133,0.000494241,11.1331
50,"pi-",4.07171,0.125485,6.1465e-05,-0.125485,4.07603
51,"pi+",37.6357,0.41127,0.130368,-0.39006,37.6382
52,"pi-",13.3153,0.336092,-0.136102,-0.307301,13.3203
53,"pi-",1.94419,0.212487,-0.0865769,0.194049,1.96074
54,"pi0",6.98385,1.06635,-1.06627,0.0127647,7.06607
55,"pi+",4.12218,0.505323,0.50529,0.00576803,4.15539
56,"pi-",3.77294,0.144444,-0.0243448,-0.142378,3.77828
57,"pi-",10.3661,0.92524,0.218858,-0.898983,10.4082
58,"pi+",43.1155,0.219421,0.0924693,0.198985,43.1163
59,"pi0",2.32798,0.432659,-0.431652,-0.0294949,2.37169
60,"pi-",26.5105,0.723912,0.646925,0.324866,26.5207
61,"pi0",10.8132,0.499249,-0.342185,-0.363537,10.8255
62,"pi+",16.7221,0.287429,0.250447,0.141038,16.7251
63,"pi-",6.78615,0.49261,-0.224339,-0.438561,6.80544
64,"pi0",15.0918,0.349406,0.152279,0.314477,15.0965
65,"pi+",5.48743,0.276707,0.168333,0.219615,5.49618
66,"pi+",3.49221,0.499969,0.484064,-0.125105,3.53058
67,"pi+",11.3335,0.129874,-0.0100494,-0.129485,11.3351
68,"pi0",6.58409,0.313338,0.132035,0.284161,6.59292
69,"pi-",9.66095,0.127333,0.0907658,-0.0893043,9.6628
70,"pi0",5.99793,0.207255,0.19952,0.0560949,6.00303
71,"pi-",1.94983,0.164434,0.160974,0.0335536,1.96172
72,"pi+",35.3158,0.4064,-0.178326,-0.365186,35.3185
73,"pi-",40.6069,0.464296,0.458888,0.0706609,40.6098
74,"pi+",34.5135,0.566477,0.0355717,-0.565359,34.5184
75,"pi0",17.1824,0.656265,0.290503,-0.588465,17.1954
76,"pi0",29.6687,0.207449,0.0155225,-0.206868,29.6697
77,"pi0",25.3245,0.0810551,-0.00645448,-0.0807977,25.3249
78,"pi0",30.0228,0.339356,0.0445192,-0.336423,30.0251
79,"pi-",18.6057,0.458768,-0.0782581,-0.452044,18.6119
80,"pi0",40.3587,0.333175,0.217928,0.252018,40.3603
81,"pi+",5.16644,0.209895,0.126194,-0.167723,5.17259
82,"pi+",17.3893,0.600371,0.375243,-0.468656,17.4002
83,"pi-",46.8335,0.197755,0.147369,-0.131869,46.8342
84,"pi-",3.90885,0.188761,0.169682,0.082697,3.91589
85,"pi-",42.3509,0.407158,0.343857,-0.218038,42.3531
86,"pi-",9.34827,0.394617,-0.118572,-0.376382,9.35764
87,"pi+",13.2704,0.2629,0.262106,-0.0204116,13.2738
88,"pi-",10.219,0.202742,0.185353,-0.0821499,10.2219
89,"pi0",3.24028,0.245028,0.064342,0.236429,3.25233
90,"pi-",16.9526,0.437114,0.413951,0.140404,16.9588
91,"pi-",21.5389,0.564363,-0.26399,-0.498814,21.5468
92,"pi-",18.487,0.379444,0.261223,-0.27521,18.4914
93,"pi+",37.8884,0.407495,-0.181444,-0.36487,37.8908
94,"pi+",5.89817,0.306355,-0.256042,0.168214,5.90777
95,"pi-",6.43748,0.469221,-0.461515,0.0846872,6.45606
96,"pi-",10.1844,0.408222,0.379625,0.150102,10.1935
97,"pi+",32.2631,0.557426,-0.511564,0.221418,32.2682
98,"pi0",23.9148,0.124664,-0.0220673,0.122695,23.9155
99,"pi+",6.91373,0.0466384,0.0397199,0.0244433,6.91529
100,"pi0",3.56808,0.475499,0.03424,0.474265,3.60216
101,"pi+",39.8918,0.212257,-0.177878,-0.115812,39.8926
102,"pi-",10.5379,0.0689399,0.0645453,0.0242202,10.539
103,"pi+",3.37572,0.428953,0.426924,0.0416723,3.40572
104,"pi0",33.6541,0.335941,-0.270073,-0.199792,33.656
105,"pi-",7.76688,0.706487,0.255884,0.65852,7.80019
106,"pi+",19.803,1.01447,0.504541,0.880102,19.8294
107,"pi0",15.5627,0.200403,-0.073896,0.186281,15.5646
108,"pi0",18.834,0.571604,-0.469372,-0.326222,18.8431
109,"pi0",4.0112,0.350757,0.340111,-0.085763,4.02876
110,"pi-",5.30801,0.258667,-0.112092,0.233118,5.31614
111,"pi0",11.4707,0.406007,-0.315323,-0.25576,11.4786
112,"pi-",19.6871,0.320577,-0.0376075,-0.318363,19.6902
113,"pi+",23.9159,0.279981,0.263371,0.0950015,23.9179
114,"pi0",1.59518,0.228827,-0.030279,-0.226815,1.61715
115,"pi0",32.2406,0.604944,0.466024,-0.385719,32.2466
117,"pi+",37.9036,0.686254,0.620749,0.292601,37.9101
118,"pi-",18.9947,0.356411,0.329709,-0.135355,18.9985
119,"pi+",15.0298,0.0539592,0.0485114,-0.0236271,15.0306
120,"pi+",12.1448,0.2681,0.20391,0.174063,12.1485
121,"pi-",20.4131,0.640184,0.048448,0.638348,20.4237
122,"pi0",26.1207,0.83453,0.137218,-0.823171,26.1344
123,"pi0",34.6554,0.641277,-0.519081,-0.376551,34.6616
124,"pi+",7.85321,0.448964,-0.428009,0.135563,7.86727
125,"pi0",44.6508,0.530376,0.00212716,-0.530372,44.6542
126,"pi+",20.2883,0.676826,0.628485,0.251198,20.3
127,"pi+",35.5273,0.442018,0.00239955,-0.442012,35.5304
128,"pi-",18.3404,0.52355,-0.425152,-0.305533,18.3484
129,"pi+",28.5252,0.566575,0.423386,-0.3765,28.5312
130,"pi+",26.4032,0.324619,-0.122488,0.300623,26.4055
131,"pi-",9.72221,0.717731,-0.418909,-0.582798,9.74967
132,"pi0",13.2513,0.123835,-0.117434,0.0392987,13.2525
133,"pi+",12.1553,0.538637,0.481146,-0.242134,12.168
134,"pi-",32.817,0.104954,-0.0674581,-0.0804043,32.8175
135,"pi0",2.37694,0.371914,-0.367454,-0.0574211,2.40964
136,"pi-",21.6341,0.579093,0.365643,-0.449059,21.6423
137,"pi-",34.5539,0.378065,-0.322967,-0.196532,34.5563
138,"pi0",34.3926,0.0688611,-0.0260391,-0.0637481,34.393
139,"pi-",15.0508,0.40709,-0.387775,0.123906,15.057
140,"pi-",9.20553,0.360879,-0.0322151,0.359438,9.21366
141,"pi0",16.1528,0.385792,-0.295626,-0.247873,16.158
142,"pi0",2.86694,0.558521,0.548237,-0.106689,2.92395
143,"pi-",37.5091,0.289013,0.0995852,-0.271314,37.5105
145,"pi0",32.2672,0.15319,0.0698069,-0.13636,32.2679
146,"pi0",6.04074,0.645667,0.610797,0.209314,6.07664
147,"pi0",16.973,0.285374,0.0789605,0.274232,16.976
148,"pi0",4.46391,0.276399,-0.182471,-0.207607,4.47449
149,"pi0",0.712726,0.466974,-0.0232956,-0.466393,0.862707
150,"pi0",29.6863,0.492521,-0.265871,0.414596,29.6907
151,"pi0",16.8217,0.25187,-0.0957992,0.232939,16.8241
152,"pi0",5.54391,0.441329,-0.0223635,-0.440762,5.56309
153,"pi0",14.1876,0.418434,0.180055,-0.377713,14.1944
154,"pi-",18.6416,0.307044,0.290592,0.0991564,18.6447
155,"pi+",38.9298,0.31764,-0.284936,0.14038,38.9314
156,"pi0",4.43742,0.62986,-0.145963,0.612714,4.48393
157,"pi+",3.55505,0.680554,-0.662898,0.154016,3.62229
158,"pi-",1.68469,0.618835,0.613859,-0.0783203,1.80017
159,"pi-",16.1645,0.143378,-0.0285531,-0.140506,16.1657
160,"pi0",10.5721,0.595113,-0.311982,0.506781,10.5897
161,"pi0",25.7735,0.633511,-0.560481,0.295291,25.7816
162,"pi-",5.94477,0.310071,-0.132834,-0.280177,5.95448
163,"pi-",16.0333,0.285119,0.263624,0.108607,16.0365
164,"pi-",16.3183,0.313936,-0.123758,0.288513,16.3219
165,"pi-",15.8887,0.487688,-0.30427,0.381129,15.8968
166,"pi-",16.2736,0.473121,-0.165169,0.443354,16.281
167,"pi+",20.6753,0.543223,0.294837,-0.456249,20.6829
168,"pi0",1.27268,0.12685,-0.121375,-0.0368648,1.28608
169,"pi+",16.8672,0.483727,0.469961,-0.114579,16.8747
170,"pi0",6.33777,0.10258,-0.00050458,-0.102579,6.34004
171,"pi0",27.3992,0.48864,-0.455605,-0.176618,27.4039
172,"pi+",13.3603,0.415791,-0.0554995,-0.412071,13.3675
173,"pi+",11.6867,0.107452,0.106669,0.0129466,11.6881
174,"pi+",24.6955,0.603278,0.27804,0.535386,24.7032
175,"pi+",11.2697,0.290028,-0.102369,0.271361,11.2743
176,"pi+",3.01845,0.279369,-0.240183,0.142686,3.03456
177,"pi+",36.3385,0.524137,0.519558,-0.0691277,36.3426
178,"pi-",16.3464,0.0646077,-0.0612486,0.0205612,16.3472
179,"pi0",3.02151,0.608792,0.487383,-0.364808,3.08518
180,"pi+",19.1251,0.0804658,0.0783178,-0.018468,19.1258
181,"pi0",16.4513,0.371294,0.0596745,-0.366467,16.456
182,"pi-",10.9866,0.186245,0.141279,0.121357,10.9891
183,"pi-",21.4406,0.171834,0.171822,-0.00201529,21.4417
184,"pi+",27.1129,0.656872,0.434671,0.492486,27.1212
185,"pi0",18.1219,0.690701,-0.345906,-0.597844,18.1355
186,"pi+",2.93598,0.400212,-0.324385,-0.234401,2.96642
187,"pi-",25.3012,0.798393,-0.79487,-0.0749199,25.3142
188,"pi-",13.3569,0.256251,-0.232663,-0.107387,13.3601
189,"pi+",26.1321,0.389207,0.361867,0.143298,26.1354
190,"pi0",7.97265,0.119137,0.0275736,-0.115902,7.97468
191,"pi-",11.0126,0.234791,0.133968,-0.192819,11.016
192,"pi0",13.2123,0.529664,0.350339,-0.397248,13.2236
193,"pi-",8.83128,0.437573,0.00451395,-0.43755,8.84321
194,"pi-",9.10355,0.301098,-0.239675,0.182252,9.1096
195,"pi-",32.8555,0.419869,-0.307241,-0.28617,32.8585
196,"pi0",38.1218,0.433885,-0.247776,0.356179,38.1245
197,"pi0",26.9299,0.177939,-0.15882,0.0802421,26.9308
198,"pi0",3.34426,0.0730552,0.0523565,-0.0509497,3.34779
199,"pi0",3.91427,0.3244,0.300442,-0.122353,3.93
200,"pi-",19.4082,0.700574,-0.602986,0.356667,19.4214
201,"pi+",31.0078,0.191505,0.18805,-0.0362135,31.0087
202,"pi0",26.3811,0.187463,0.147008,-0.116324,26.3821
203,"pi-",18.1341,0.386129,0.0691607,-0.379884,18.1388
204,"pi-",8.77411,0.487814,-0.439666,0.211321,8.78877
205,"pi0",26.3717,0.318176,0.0416353,0.31544,26.374
206,"pi-",35.3745,0.540206,-0.402944,-0.359803,35.3789
207,"pi-",14.7205,0.478271,0.124435,-0.4618,14.7289
208,"pi+",3.96008,0.595304,0.568286,-0.177305,4.00701
209,"pi0",25.9354,0.250815,0.100675,-0.229723,25.9369
210,"pi-",5.95809,0.238281,0.200593,-0.128608,5.96449
211,"pi+",27.9441,0.551799,-0.0855047,0.545134,27.9499
212,"pi+",22.5493,0.366048,-0.173063,-0.322553,22.5527
213,"pi-",27.9938,0.325062,-0.316602,-0.0736757,27.996
214,"pi+",11.0327,0.247843,-0.0782085,-0.23518,11.0363
215,"pi0",5.76415,0.329827,0.246457,-0.219191,5.77516
216,"pi-",11.2286,0.469908,-0.343128,-0.321055,11.2393
217,"pi0",3.51364,0.100652,0.0831034,-0.0567853,3.51767
218,"pi-",0.771651,0.507484,0.0577352,-0.504189,0.934059
219,"pi0",10.8669,0.753202,-0.175725,0.732417,10.8939
220,"pi0",12.424,0.0975385,0.0931298,0.0289933,12.4251
221,"pi-",5.58865,0.453665,0.207046,-0.403663,5.60877
222,"pi0",19.2362,0.288476,0.0267762,-0.28723,19.2388
223,"pi+",0.135443,0.284145,0.265213,0.101982,0.34433
224,"pi-",13.491,0.90602,-0.905591,0.0278756,13.5221
225,"pi-",4.29015,0.295402,-0.0537955,-0.290463,4.30258
226,"pi+",38.0452,0.40564,-0.102814,0.392394,38.0477
227,"pi+",13.3359,0.297391,0.281077,0.0971427,13.34
228,"pi+",42.5266,0.350462,0.238083,0.257176,42.5282
