Event,Name,Pid,Particle_px,Particle_py,Particle_pz,Particle_E,Particle_pT
0,pi0,111,0.160985,0.23589,36.9805,36.9818,0.285588
1,pi0,111,0.236153,0.365678,22.8023,22.8068,0.435303
2,pi-,-211,0.0722736,0.0466841,0.632455,0.653362,0.08604
3,pi-,-211,0.0362909,0.250416,41.8182,41.8192,0.253032
4,pi0,111,-0.149215,0.0462286,8.4318,8.43433,0.156212
5,pi-,-211,0.294904,0.179111,10.8527,10.8591,0.345035
6,pi0,111,0.253026,0.48979,23.7098,23.7166,0.551286
7,pi-,-211,0.0939859,0.189751,4.63196,4.6389,0.211752
8,pi0,111,-0.071503,-0.293216,5.85558,5.8649,0.301809
9,pi0,111,0.118871,-0.224799,2.06132,2.08133,0.254293
10,pi-,-211,0.275274,-0.270929,4.5501,4.5686,0.386236
11,pi-,-211,0.149516,0.202813,3.3644,3.37671,0.251968
12,pi-,-211,0.0483557,0.171498,15.4757,15.4773,0.178184
13,pi-,-211,0.392605,0.0651262,8.93729,8.94723,0.39797
14,pi-,-211,0.111364,-0.0565403,25.3732,25.3739,0.124895
15,pi-,-211,-0.151616,0.056184,6.3196,6.3232,0.161692
16,pi-,-211,-0.178779,-0.200996,6.49458,6.50165,0.269001
17,pi-,-211,0.166337,-0.052458,18.3068,18.3081,0.174412
18,pi0,111,-0.0405119,-0.0315972,12.7973,12.7981,0.051377
19,pi0,111,0.464807,-0.0167662,20.1249,20.1307,0.465109
20,pi0,111,-0.0106557,0.189274,42.4116,42.4123,0.189574
21,pi0,111,-0.198898,0.573367,31.4069,31.4131,0.606886
22,pi0,111,-0.0467084,-0.804966,30.2869,30.2979,0.80632
23,pi-,-211,-0.101279,0.280024,5.61532,5.62494,0.297776
24,pi0,111,0.0747547,-0.0571768,24.8594,24.8599,0.094114
25,pi-,-211,0.147828,0.181466,1.87728,1.89696,0.234057
26,pi0,111,-0.235526,0.235774,11.6217,11.6273,0.333259
27,pi0,111,0.209262,-0.0541614,17.0765,17.0784,0.216158
28,pi-,-211,0.16269,0.137261,9.10941,9.11296,0.212859
29,pi0,111,0.198309,-0.271267,36.6923,36.6941,0.336024
30,pi-,-211,0.162651,-6.10435e-05,20.3398,20.3409,0.162651
31,pi-,-211,0.0993652,-0.113437,3.82763,3.83315,0.150802
32,pi-,-211,-0.146137,-0.072736,2.85236,2.86044,0.163238
33,pi-,-211,-0.293097,-0.155102,6.31113,6.32137,0.331606
34,pi-,-211,-0.214116,0.0939189,16.3064,16.3087,0.233809
35,pi-,-211,-0.208925,-0.224095,21.2776,21.2803,0.306379
36,pi0,111,-0.400499,0.513334,21.2342,21.2446,0.651085
37,pi-,-211,0.19538,-0.0114035,1.49699,1.51617,0.195712
38,pi0,111,-0.109146,0.220937,5.82253,5.8293,0.246426
39,pi-,-211,0.225328,-0.196576,3.93639,3.9502,0.299023
40,pi-,-211,-0.152044,-0.153313,2.22772,2.2425,0.215922
41,pi0,111,0.0338644,-0.162023,17.0009,17.0023,0.165524
42,pi-,-211,-0.0799181,0.0802196,3.73885,3.74316,0.113235
43,pi-,-211,-0.160911,-0.000404789,7.97447,7.97732,0.160912
44,pi-,-211,-0.147766,0.0264558,29.2476,29.2483,0.150115
45,pi0,111,-0.100831,-0.395594,17.4002,17.4055,0.408242
46,pi-,-211,0.164775,-0.144437,31.8126,31.8137,0.219118
47,pi-,-211,-0.375372,0.043516,14.8764,14.8818,0.377886
48,pi0,111,0.0140884,-0.135554,7.47134,7.4738,0.136285
49,pi-,-211,0.0913673,-0.221885,13.1577,13.1606,0.239961
50,pi-,-211,-0.482841,0.0517034,15.0802,15.0887,0.485602
51,pi0,111,0.0968378,-0.383765,2.68666,2.71901,0.395794
52,pi-,-211,-0.140705,0.389744,32.702,32.705,0.414365
53,pi0,111,-0.0873841,-0.114887,7.371,7.37365,0.144343
54,pi-,-211,-0.216147,0.0715347,7.38009,7.38492,0.227677
55,pi0,111,0.048297,-0.0273116,7.21034,7.21181,0.0554844
56,pi-,-211,0.0541171,-0.0784817,1.639,1.64769,0.0953312
57,pi-,-211,0.339646,0.237414,6.5917,6.60619,0.414397
58,pi0,111,0.200421,-0.451687,25.8056,25.8106,0.494155
59,pi0,111,-0.00994045,-0.0648552,25.762,25.7624,0.0656126
60,pi-,-211,0.124718,-0.0762208,26.6897,26.6905,0.146165
61,pi-,-211,-0.307709,-0.411279,18.5429,18.5505,0.513648
62,pi0,111,0.000842701,0.0973178,9.83864,9.84005,0.0973214
63,pi0,111,-0.25151,-0.0434156,29.9615,29.9629,0.25523
64,pi0,111,-0.20965,0.250383,4.04139,4.0568,0.326565
65,pi-,-211,-0.00379582,-0.052743,3.05938,3.06302,0.0528794
66,pi-,-211,-0.126689,-0.33846,8.64948,8.65816,0.361394
67,pi0,111,-0.0631436,-0.153851,9.20281,9.2053,0.166305
68,pi-,-211,-0.536667,-0.210663,36.2879,36.2927,0.576533
69,pi0,111,-0.531018,0.335916,17.5755,17.5872,0.628347
70,pi-,-211,0.323741,-0.0783703,38.1673,38.169,0.333092
71,pi0,111,-0.14493,-0.179113,33.42,33.4211,0.230404
72,pi-,-211,-0.141364,-0.157717,23.3787,23.3801,0.211798
73,pi0,111,0.446182,0.460133,30.3699,30.377,0.640937
74,pi-,-211,-0.0968158,0.032198,1.56472,1.57424,0.102029
75,pi-,-211,-0.0168138,-0.105772,13.7598,13.7609,0.1071
76,pi-,-211,-0.133932,0.0532996,10.576,10.5779,0.144148
77,pi-,-211,-0.00369942,0.0934215,15.3541,15.355,0.0934947
78,pi-,-211,0.205791,0.0247951,1.61044,1.62972,0.20728
79,pi-,-211,0.21214,-0.117099,9.76201,9.76601,0.242313
80,pi0,111,-0.279164,-0.00372684,25.6172,25.619,0.279189
81,pi-,-211,0.00250302,0.114312,4.94225,4.94554,0.114339
82,pi-,-211,0.01068,-0.0314559,0.792459,0.805341,0.0332195
83,pi0,111,0.2596,0.127463,24.2577,24.2598,0.289204
84,pi-,-211,0.160448,-0.178426,12.5251,12.5282,0.239957
85,pi-,-211,0.130624,0.121025,8.68321,8.68616,0.178072
86,pi-,-211,-0.462629,0.0857672,32.2122,32.2159,0.470512
87,pi-,-211,-0.529601,0.0922571,17.5841,17.5928,0.537577
88,pi-,-211,0.656436,-0.824103,35.4153,35.4312,1.05359
89,pi0,111,0.0865431,-0.217119,35.655,35.656,0.233732
90,pi-,-211,-0.0326684,0.142681,4.16812,4.17303,0.146373
91,pi-,-211,-0.278887,0.240894,12.7312,12.7373,0.368521
