Event,Index,Name,ID,Status,px,py,pz,E,m,Mother1,Mother2,Daughter1,Daughter2,IsFinal
0_1,3,pi0,111,-83,0.160985,0.235890,3.691369,3.704860,0.134980,1,2,9,10,0
0_2,4,pi-,-211,83,-0.235826,0.294327,0.839587,0.930929,0.139570,1,2,0,0,1
0_3,5,pi+,211,83,0.630536,-0.195332,-0.597332,0.901119,0.139570,1,2,0,0,1
0_4,6,pi0,111,-83,-0.669979,-0.407060,-0.575318,0.981723,0.134980,1,2,11,12,0
0_5,7,pi-,-211,84,0.002925,0.385911,-2.696180,2.727234,0.139570,1,2,0,0,1
0_6,8,pi+,211,84,0.111359,-0.313737,-0.662126,0.754136,0.139570,1,2,0,0,1
1_1,3,pi-,-211,83,0.102817,0.088332,0.317214,0.372127,0.139570,1,2,0,0,1
1_2,4,pi+,211,83,0.341641,0.095915,3.889151,3.907799,0.139570,1,2,0,0,1
1_3,5,pi-,-211,83,-0.602485,-0.643151,0.238675,0.923622,0.139570,1,2,0,0,1
1_4,6,rho0,113,-84,0.193476,0.270877,-1.620110,1.841465,0.809586,1,2,8,9,0
1_5,7,rho+,213,-84,-0.035449,0.188027,-2.824930,2.954987,0.845643,1,2,10,11,0
2_1,3,K0,311,-83,-0.237704,-0.113465,1.261913,1.381817,0.497610,1,2,9,9,0
2_2,4,Xi0,3322,-83,0.317589,0.125679,1.173890,1.795420,1.314860,1,2,10,11,0
2_3,5,Lambdabar0,-3122,-83,0.178954,-0.165821,1.747317,2.087434,1.115680,1,2,12,13,0
2_4,6,pi-,-211,84,-0.234326,0.407160,-0.309296,0.579510,0.139570,1,2,0,0,1
2_5,7,pi+,211,84,-0.599136,-0.550724,-2.467122,2.601621,0.139570,1,2,0,0,1
2_6,8,pi0,111,-84,0.574623,0.297170,-1.406703,1.554199,0.134980,1,2,14,15,0
3_1,3,pi-,-211,83,0.122363,-0.383254,1.944174,1.990263,0.139570,1,2,0,0,1
3_2,4,omega,223,-83,0.047464,0.160732,1.973336,2.129023,0.781406,1,2,10,12,0
3_3,5,pi0,111,-83,-0.175613,0.557286,-0.329553,0.684276,0.134980,1,2,13,14,0
3_4,6,omega,223,-83,-0.169214,-0.614449,-0.016594,1.006753,0.779163,1,2,15,16,0
3_5,7,eta,221,-83,0.152406,0.737546,-0.532163,1.072632,0.547850,1,2,17,19,0
3_6,8,pi0,111,-84,0.090757,-0.090575,-1.918620,1.927632,0.134980,1,2,20,21,0
3_7,9,pi+,211,84,-0.068164,-0.367287,-1.120579,1.189422,0.139570,1,2,0,0,1
4_1,3,n0,2112,83,0.756628,-0.031124,4.141238,4.313479,0.939570,1,2,0,0,1
4_2,4,pi0,111,-83,-0.873768,0.079458,-0.769596,1.174854,0.134980,1,2,12,13,0
4_3,5,Deltabar-,-2214,-83,0.448671,-0.111103,-1.842603,2.320422,1.332488,1,2,8,9,0
4_4,6,rho0,113,-84,0.061514,0.052001,-0.269967,0.864842,0.817668,1,2,10,11,0
