# Event,Particle_ID,px,py,pz,E,mass
0,-211,0.281783,-0.0144364,0.645298,0.717983,0.13957
0,321,-0.211705,0.133442,2.73964,2.795,0.49368
0,2212,0.0252444,0.234191,-2.54669,2.72423,0.93827
0,-2112,0.279715,-0.399018,-0.88641,1.38057,0.93957
0,-321,-0.0786529,-0.126478,0.83312,0.979792,0.49368
0,211,-0.137813,0.135026,-0.243909,0.340875,0.13957
0,-211,-0.434426,-0.203569,-0.183593,0.532308,0.13957
1,211,0.193874,0.11932,0.662515,0.714304,0.13957
1,-211,-0.467764,-0.0760046,2.86113,2.90347,0.13957
1,211,-0.262098,-0.30672,0.455866,0.624553,0.13957
1,-211,0.190746,0.243674,0.0510811,0.343293,0.13957
1,321,0.208274,-0.0908228,-0.0186789,0.543779,0.49368
1,-211,-0.0156509,0.189217,-0.0942944,0.25381,0.13957
1,211,0.291432,0.181934,-1.31958,1.3707,0.13957
1,-211,-0.195618,-0.0475125,-1.51757,1.53721,0.13957
1,211,-0.0459884,0.0304056,-0.0808746,0.17047,0.13957
1,-211,0.25959,-0.337037,0.0627228,0.4521,0.13957
2,2112,-0.123851,0.260269,2.66464,2.8401,0.93957
2,-2112,-0.0894658,-0.102369,0.671608,1.1629,0.93957
2,-211,-0.23969,-0.104004,0.0208247,0.296954,0.13957
2,211,0.0736027,0.0962593,-1.11201,1.12727,0.13957
2,211,0.0870391,-0.00817941,0.077248,0.181906,0.13957
2,-211,-0.0292091,-0.0733469,0.0163287,0.161181,0.13957
3,-211,-0.103684,0.0743282,0.341188,0.390082,0.13957
3,211,0.557812,-0.448203,-2.28597,2.39941,0.13957
3,211,0.269112,-0.624901,1.28617,1.46172,0.13957
3,-211,0.0264345,0.143861,0.858606,0.882088,0.13957
4,2112,-0.104185,0.113566,2.52645,2.6999,0.93957
4,-2112,0.640646,-0.254443,0.734483,1.37747,0.93957
4,-211,-0.474624,0.485325,-0.00232974,0.693032,0.13957
4,211,-0.344582,0.194603,0.414981,0.590166,0.13957
5,-211,-0.0181119,0.300502,1.73498,1.76643,0.13957
5,-321,-0.209081,-0.390496,0.915611,1.1306,0.49368
5,211,-0.00506193,-0.0413293,-0.0231101,0.147471,0.13957
5,321,0.0934388,-0.320596,1.33548,1.46244,0.49368
5,211,-0.232959,-0.0978495,-0.767599,0.820081,0.13957
5,-211,-0.0859139,-0.161032,-0.953455,0.980749,0.13957
6,-211,-0.231511,-0.578512,-0.0524781,0.640708,0.13957
6,211,0.264038,0.200079,-1.29012,1.33927,0.13957
6,-211,0.182635,0.0282731,0.211751,0.313804,0.13957
6,211,-0.622176,-0.296561,0.807454,1.07075,0.13957
6,-2212,0.896914,-0.0310527,0.0929732,1.3017,0.93827
6,211,0.021328,-0.0461006,0.016987,0.149494,0.13957
6,211,-0.325726,-0.0742844,-0.649779,0.743847,0.13957
6,-211,0.135218,0.023317,-0.865322,0.887181,0.13957
6,2212,-0.0608011,0.386369,2.18628,2.41105,0.93827
6,-211,-0.0151863,0.133329,0.221926,0.294513,0.13957
7,-211,0.0670198,-0.0906028,0.948904,0.965711,0.13957
7,-2212,-0.122546,-0.46143,1.30105,1.67363,0.93827
7,-211,0.505473,-0.101479,-0.661029,0.849847,0.13957
7,-2112,-0.423355,-0.414557,-2.54984,2.78129,0.93957
7,-211,0.0847563,0.377668,-0.119671,0.428506,0.13957
7,211,0.0417635,-0.118131,-0.167235,0.25129,0.13957
7,2212,0.081408,0.387495,1.244,1.60769,0.93827
7,2212,0.0455391,0.247458,-0.124276,0.979339,0.93827
7,211,-0.170187,0.143929,0.110577,0.285283,0.13957
8,-211,-0.0879144,-0.156181,1.3171,1.33655,0.13957
8,211,0.459386,0.580073,1.99074,2.12839,0.13957
8,-211,-0.32367,-0.796841,0.063112,0.873602,0.13957
8,2112,-0.0346454,0.265047,0.324742,1.02942,0.93957
8,-2112,0.00387864,-0.0697816,-0.82918,1.25508,0.93957
8,211,0.0183039,0.0869175,-0.830414,0.846733,0.13957
8,211,0.364982,0.049403,-0.745548,0.843192,0.13957
8,-211,-0.457262,-0.0285544,-1.40764,1.48689,0.13957
9,-321,0.310561,0.184467,0.973214,1.1495,0.49368
9,211,0.266966,-0.456983,2.09303,2.16342,0.13957
9,211,0.14129,0.0476216,-1.8495,1.86075,0.13957
9,-211,-0.124084,0.249696,-0.555813,0.637301,0.13957
9,211,-0.144614,-0.0876274,0.188742,0.289301,0.13957
9,-211,-0.0708108,0.25125,0.760478,0.816056,0.13957
